id,Name,Date (UTC),Description,Url,Tax Code,readymag_page (metadata),camp_page (metadata),product_id (metadata),title (metadata),time_label (metadata),camp_type (metadata),season (metadata),discipline_label_en (metadata),discipline_label_de (metadata),week_label (metadata),discipline_key (metadata),period_label (metadata),age_label (metadata),original_price_id (metadata),pricing (metadata),slot (metadata),week (metadata),childLast (metadata),childFirst (metadata)
prod_TSnYxvtxCLUhqL,Winter 2026 Manga&Comics: Storytelling Gruppe 10+,2025-11-21 10:53,,,,manga_storytelling,,,,,,winter_2026,Drawing,Zeichnung,Woche 1,drawing,02 – 06 Februar,10+ Jahre,,,,,,
prod_TSnYmL234Imt8L,Winter 2026 Fashion Design: Moodboards & Styling Gruppe 10+,2025-11-21 10:52,,,,fashion_design,,,,,,winter_2026,Fashion Design,Fashion Design,Woche 1,fashion_design,02 – 06 Februar,8–11 Jahre,,,,,,
